,Date,Open,High,Low,Close,Volume
8635,20230712 13:25:00 Asia/Calcutta,4479.75,4480.0,4479.5,4479.75,234
8636,20230712 13:26:00 Asia/Calcutta,4479.5,4479.75,4479.5,4479.5,246
8637,20230712 13:27:00 Asia/Calcutta,4479.5,4480.0,4479.25,4479.25,241
8638,20230712 13:28:00 Asia/Calcutta,4479.25,4479.75,4479.25,4479.75,285
8639,20230712 13:29:00 Asia/Calcutta,4479.5,4479.75,4479.5,4479.5,210
8640,20230712 13:30:00 Asia/Calcutta,4479.75,4479.75,4479.0,4479.25,397
8641,20230712 13:31:00 Asia/Calcutta,4479.5,4480.0,4479.0,4479.25,256
8642,20230712 13:32:00 Asia/Calcutta,4479.25,4480.0,4479.25,4479.75,376
8643,20230712 13:33:00 Asia/Calcutta,4479.75,4479.75,4479.25,4479.5,180
8644,20230712 13:34:00 Asia/Calcutta,4479.5,4479.75,4479.5,4479.5,175
8645,20230712 13:35:00 Asia/Calcutta,4479.25,4479.5,4478.75,4479.25,232
8646,20230712 13:36:00 Asia/Calcutta,4479.0,4479.25,4478.75,4478.75,184
8647,20230712 13:37:00 Asia/Calcutta,4478.75,4479.5,4478.75,4479.5,109
8648,20230712 13:38:00 Asia/Calcutta,4479.75,4479.75,4479.5,4479.5,144
8649,20230712 13:39:00 Asia/Calcutta,4479.75,4480.75,4479.5,4480.5,425
8650,20230712 13:40:00 Asia/Calcutta,4480.5,4480.75,4480.0,4480.5,264
8651,20230712 13:41:00 Asia/Calcutta,4480.25,4480.75,4479.75,4480.0,239
8652,20230712 13:42:00 Asia/Calcutta,4480.0,4480.25,4479.75,4480.0,380
8653,20230712 13:43:00 Asia/Calcutta,4480.25,4480.5,4479.5,4479.75,341
8654,20230712 13:44:00 Asia/Calcutta,4479.75,4480.5,4479.75,4480.5,196
8655,20230712 13:45:00 Asia/Calcutta,4480.75,4480.75,4480.0,4480.25,441
8656,20230712 13:46:00 Asia/Calcutta,4480.25,4480.5,4480.0,4480.5,129
8657,20230712 13:47:00 Asia/Calcutta,4480.25,4481.5,4480.25,4480.75,544
8658,20230712 13:48:00 Asia/Calcutta,4481.0,4481.0,4480.25,4480.5,313
8659,20230712 13:49:00 Asia/Calcutta,4480.75,4480.75,4480.25,4480.5,96
8660,20230712 13:50:00 Asia/Calcutta,4480.5,4480.5,4479.75,4480.0,247
8661,20230712 13:51:00 Asia/Calcutta,4479.75,4480.0,4479.75,4479.75,114
8662,20230712 13:52:00 Asia/Calcutta,4479.75,4480.0,4479.0,4479.25,125
8663,20230712 13:53:00 Asia/Calcutta,4479.0,4479.5,4478.75,4478.75,454
8664,20230712 13:54:00 Asia/Calcutta,4478.75,4478.75,4478.25,4478.25,433
8665,20230712 13:55:00 Asia/Calcutta,4478.25,4478.75,4478.25,4478.75,289
8666,20230712 13:56:00 Asia/Calcutta,4478.75,4479.75,4478.5,4479.5,296
8667,20230712 13:57:00 Asia/Calcutta,4479.75,4480.0,4479.5,4479.75,169
8668,20230712 13:58:00 Asia/Calcutta,4479.75,4480.25,4479.75,4479.75,239
8669,20230712 13:59:00 Asia/Calcutta,4480.0,4480.0,4479.75,4480.0,127
8670,20230712 14:00:00 Asia/Calcutta,4479.75,4480.5,4479.5,4480.5,170
8671,20230712 14:01:00 Asia/Calcutta,4480.25,4480.25,4480.0,4480.0,49
8672,20230712 14:02:00 Asia/Calcutta,4479.75,4480.25,4479.75,4480.25,63
8673,20230712 14:03:00 Asia/Calcutta,4480.0,4480.25,4479.75,4480.0,183
8674,20230712 14:04:00 Asia/Calcutta,4480.25,4480.5,4479.75,4479.75,213
8675,20230712 14:05:00 Asia/Calcutta,4479.75,4480.0,4479.5,4479.5,215
